Date,Open,High,Low,Close,Volume,Ticker
2014-07-03,1968.0,1978.25,1966.0,1977.5,846127,ES=F
2014-07-07,1975.75,1977.5,1967.25,1971.0,1151705,ES=F
2014-07-08,1970.5,1970.75,1952.75,1960.5,1776514,ES=F
2014-07-09,1960.5,1968.25,1958.25,1967.25,1393006,ES=F
2014-07-10,1967.5,1968.25,1945.25,1957.75,1972746,ES=F
2014-07-11,1957.25,1963.5,1953.0,1962.5,1364154,ES=F
2014-07-14,1962.75,1974.0,1962.5,1971.0,1003831,ES=F
2014-07-15,1971.25,1976.25,1958.75,1968.0,1905617,ES=F
2014-07-16,1968.0,1978.0,1967.0,1974.75,1320381,ES=F
2014-07-17,1971.25,1976.0,1948.5,1953.5,2441561,ES=F
2014-07-18,1949.25,1974.25,1942.5,1971.5,1796625,ES=F
2014-07-21,1970.25,1971.5,1959.0,1966.25,1414256,ES=F
2014-07-22,1965.75,1980.5,1965.25,1975.0,1274851,ES=F
2014-07-23,1973.0,1983.5,1972.75,1980.75,1149621,ES=F
2014-07-24,1981.0,1985.75,1976.75,1980.75,1165644,ES=F
2014-07-25,1978.75,1980.75,1968.0,1971.5,1426906,ES=F
2014-07-28,1970.75,1976.0,1960.75,1973.0,1368020,ES=F
2014-07-29,1972.5,1979.5,1962.0,1963.0,1509091,ES=F
2014-07-30,1964.25,1974.25,1956.5,1965.0,1768972,ES=F
2014-07-31,1965.0,1965.5,1923.5,1924.75,2772401,ES=F
2014-08-01,1926.0,1932.25,1910.25,1918.5,2886317,ES=F
2014-08-04,1919.5,1937.5,1914.75,1932.0,1605356,ES=F
2014-08-05,1931.0,1933.25,1907.5,1913.0,2137277,ES=F
2014-08-06,1914.75,1923.5,1903.0,1914.75,1705227,ES=F
2014-08-07,1914.75,1925.75,1899.75,1905.25,1954046,ES=F
2014-08-08,1905.25,1928.25,1890.25,1923.75,1904778,ES=F
2014-08-11,1923.5,1941.0,1923.25,1932.5,1178957,ES=F
2014-08-12,1934.0,1938.75,1923.5,1930.5,1234217,ES=F
2014-08-13,1932.25,1946.5,1930.75,1944.75,1120054,ES=F
2014-08-14,1946.0,1955.0,1942.0,1953.5,967191,ES=F
2014-08-15,1954.25,1961.0,1937.25,1952.5,1813411,ES=F
2014-08-18,1955.75,1969.0,1955.75,1967.5,890465,ES=F
2014-08-19,1968.5,1979.75,1968.25,1977.25,868384,ES=F
2014-08-20,1977.75,1986.0,1973.0,1983.25,1058754,ES=F
2014-08-21,1982.75,1992.0,1980.75,1989.5,841545,ES=F
2014-08-22,1989.75,1991.5,1981.5,1987.75,1115885,ES=F
2014-08-25,1990.0,1999.75,1988.75,1995.0,853066,ES=F
2014-08-26,1994.5,2002.75,1992.25,1998.5,878014,ES=F
2014-08-27,1999.25,2000.5,1993.5,1997.0,761368,ES=F
2014-08-28,1996.75,1999.5,1987.5,1996.75,1088971,ES=F
2014-08-29,1999.25,2003.75,1992.25,2001.5,1042385,ES=F
2014-09-02,1999.0,2006.25,1992.75,1999.75,1244899,ES=F
2014-09-03,2000.5,2011.0,1996.25,1998.75,1297828,ES=F
2014-09-04,1998.75,2010.0,1990.75,1997.75,1519084,ES=F
2014-09-05,1999.0,2007.75,1988.25,2006.0,1693274,ES=F
2014-09-08,2006.5,2006.75,1994.0,2000.5,1212909,ES=F
2014-09-09,2000.25,2003.0,1983.25,1989.75,1768258,ES=F
2014-09-10,1989.5,1996.25,1981.5,1995.0,1590462,ES=F
2014-09-11,1994.5,1999.5,1985.0,1997.0,1742511,ES=F
2014-09-12,1999.25,1999.25,1979.5,1984.75,1254423,ES=F
2014-09-15,1981.75,1987.25,1972.0,1984.25,854380,ES=F
2014-09-16,1984.75,2002.5,1978.5,1999.5,884642,ES=F
2014-09-17,1999.5,2010.75,1991.25,2001.5,623841,ES=F
2014-09-18,2003.5,2014.5,2001.0,2012.25,333677,ES=F
2014-09-19,2013.5,2022.5,2013.25,2019.25,1670453,ES=F
2014-09-22,2002.0,2003.0,1982.5,1986.25,1578996,ES=F
2014-09-23,1984.0,1988.0,1968.25,1972.25,1631355,ES=F
2014-09-24,1969.75,1992.5,1969.5,1991.0,1566690,ES=F
2014-09-25,1990.75,1991.5,1957.75,1961.5,2318873,ES=F
2014-09-26,1961.0,1979.25,1956.5,1976.0,1680945,ES=F
2014-09-29,1974.75,1977.0,1955.5,1969.5,1786769,ES=F
2014-09-30,1968.75,1978.25,1960.5,1965.5,1991628,ES=F
2014-10-01,1961.0,1967.0,1933.75,1940.75,2450968,ES=F
2014-10-02,1940.75,1945.75,1918.25,1938.5,2721573,ES=F
2014-10-03,1938.5,1964.5,1935.75,1960.25,1556834,ES=F
2014-10-06,1961.0,1971.0,1950.5,1956.0,1727529,ES=F
